month,price,yield,rain_index
2015-01-01,6686.82,42739.4,2.809032258
2015-02-01,6480.62,27452.1,-4.805357143
2015-03-01,5536.82,20041.8,22.54032258
2015-04-01,6718.14,10215.7,17.84733333
2015-05-01,7216.46,3573.8,-4.51516129
2015-06-01,8059.52,1297.2,16.087
2015-07-01,5497.13,12261.3,-37.69516129
2015-08-01,4102.19,66798.7,-26.4383871
2015-09-01,3606.78,137988.6,-37.18966667
2015-10-01,4991.98,114493.3,-26.00967742
2015-11-01,5302.61,92558.9,10.81033333
2015-12-01,4588.3,66745.7,6.179354839
2016-01-01,4238.31,52123.5,-5.317741935
2016-02-01,4439.14,32135.9,-8.672068966
2016-03-01,4580.89,16768.2,-0.044193548
2016-04-01,6570.29,14027.3,4.029333333
2016-05-01,7276.0,6511.4,1.621290323
2016-06-01,7183.84,2333.4,-13.176
2016-07-01,5830.77,16564.7,26.79903226
2016-08-01,4740.59,49210.8,-6.613870968
2016-09-01,5693.85,102345.5,-8.578666667
2016-10-01,4976.52,104497.2,-8.438064516
2016-11-01,4856.05,62197.0,-11.75166667
2016-12-01,5450.99,40206.7,-2.936129032
2017-01-01,5120.73,18709.4,-0.494516129
2017-02-01,5823.55,16215.5,-1.988928571
2017-03-01,6450.6,12564.8,2.959677419
2017-04-01,6762.3,7793.5,7.295333333
2017-05-01,6107.54,5229.1,-6.210322581
2017-06-01,5629.38,2573.2,9.293333333
2017-07-01,5849.75,239387.0,4.681290323
2017-08-01,4207.52,51076.3,-28.07193548
2017-09-01,3576.0,98241.8,-15.57266667
2017-10-01,3439.84,97188.1,5.400967742
2017-11-01,3825.26,89568.4,-6.356333333
2017-12-01,3936.41,62271.8,4.650967742
2018-01-01,4073.55,53812.6,-8.383870968
2018-02-01,4418.02,38159.8,-6.285357143
2018-03-01,4761.54,24160.3,-6.48516129
2018-04-01,5198.91,8831.0,4.171
2018-05-01,5155.72,3934.8,5.491935484
2018-06-01,5225.38,866.1,-1.925333333
2018-07-01,4580.49,8309.3,16.46903226
2018-08-01,5250.43,47246.0,-14.13290323
2018-09-01,3944.97,69537.1,-20.846
2018-10-01,5427.5,97332.7,-21.80322581
2018-11-01,5594.18,71872.2,11.02266667
2018-12-01,6301.55,74115.5,-0.077741935
2019-01-01,4985.94,37140.5,-3.668709677
2019-02-01,4581.36,31728.8,0.095357143
2019-03-01,4798.62,21153.7,-3.355806452
2019-04-01,6372.18,15706.9,-1.312
2019-05-01,6232.42,12947.6,3.117741935
2019-06-01,5758.74,3328.6,-28.806
2019-07-01,6546.62,12101.9,7.821612903
2019-08-01,5905.21,56503.0,36.29129032
2019-09-01,3670.85,85002.7,36.209
2019-10-01,4647.43,119484.0,5.586451613
2019-11-01,4175.68,84967.2,1.563333333
2019-12-01,4784.71,55674.8,5.868387097
2020-04-01,6661.27,7736.2,7.59
2020-05-01,6817.31,9739.2,-5.262
2020-06-01,5349.26,5885.9,0.207741935
2020-07-01,6286.91,8324.8,19.85566667
2020-08-01,7098.82,25141.8,1.969354839
2020-09-01,5089.72,57636.9,21.9590625
2020-10-01,4294.93,78775.0,-7.654
2020-11-01,3723.96,48005.9,-1.848709677
2020-12-01,5515.85,34449.3,-4.340333333
2021-05-01,10037.5,3296.9,-2.735333333
2022-01-01,5085.31,20875.3,5.069032258
2022-02-01,5302.0,20452.9,12.27
2022-03-01,5978.24,16234.0,0.138214286
2022-04-01,7513.78,15883.6,-10.95483871
2022-05-01,6336.31,10175.5,11.794
2022-06-01,6666.86,5972.9,17.848125
2022-07-01,4740.53,25036.0,-11.272
2022-08-01,3721.99,50971.4,19.28064516
2022-09-01,4289.05,78333.1,3.581290323
2022-10-01,4233.6,93741.9,-5.441333333
2022-11-01,3763.84,58554.5,31.82419355
2022-12-01,4084.82,40643.7,-3.995
2023-01-01,4375.07,20455.7,0.431935484
2023-02-01,4910.42,22940.5,-7.201612903
2023-03-01,6616.52,13599.0,-7.281785714
2023-04-01,7729.98,8375.5,-0.97
2023-05-01,7882.86,7470.5,-1.825
2023-06-01,8088.56,4180.3,2.321290323
2023-07-01,7640.92,6940.8,-31.486
2023-08-01,4954.24,24992.7,17.52612903
2023-09-01,4835.71,50804.2,-65.0396875
2023-10-01,4827.91,55763.5,-18.975
2023-11-01,5231.77,39111.8,-16.2696875
2023-12-01,5278.23,15143.8,-0.41
2024-01-01,4901.44,24173.5,13.67612903
2024-02-01,4408.96,21362.0,-3.741935484
2024-03-01,4096.34,16109.1,-0.504827586
2024-04-01,4260.85,15457.8,2.148064516
2024-05-01,4950.68,13552.7,-6.434333333
2024-07-01,5052.3,21104.4,-8.743939394
2024-08-01,5294.25,64745.0,23.12366667
2024-09-01,6073.47,115635.6,26.4246875
2024-10-01,6113.27,82087.3,-2.901290323
2024-11-01,5523.6,37763.6,-3.69
2024-12-01,5407.15,26899.0,-8.504333333
2025-01-01,6035.85,11612.4,6.972580645
