month,price,yield,rain_index
2015-01-01,1641.33,23201.54,2.809032258
2015-02-01,1791.91,22034.7,-4.805357143
2015-03-01,1599.22,30303.69,22.54032258
2015-04-01,1371.01,38488.12,17.84733333
2015-05-01,1369.9,39554.02,-4.51516129
2015-06-01,1696.18,33479.89,16.087
2015-07-01,2036.57,25169.87,-37.69516129
2015-08-01,3542.41,22493.96,-26.4383871
2015-09-01,4086.45,28602.26,-37.18966667
2015-10-01,3167.73,26415.25,-26.00967742
2015-11-01,2216.43,28330.85,10.81033333
2015-12-01,1435.02,28470.04,6.179354839
2016-01-01,1266.73,27948.42,-5.317741935
2016-02-01,997.0,33419.25,-8.672068966
2016-03-01,990.49,30796.99,-0.044193548
2016-04-01,839.37,32433.78,4.029333333
2016-05-01,727.87,32772.43,1.621290323
2016-06-01,758.07,32990.21,-13.176
2016-07-01,771.59,33424.28,26.79903226
2016-08-01,766.59,32301.15,-6.613870968
2016-09-01,663.42,29855.64,-8.578666667
2016-10-01,777.91,38922.94,-8.438064516
2016-11-01,953.98,32489.1,-11.75166667
2016-12-01,907.06,31796.25,-2.936129032
2017-01-01,852.08,29005.92,-0.494516129
2017-02-01,806.73,34794.09,-1.988928571
2017-03-01,825.38,33010.63,2.959677419
2017-04-01,819.33,34265.31,7.295333333
2017-05-01,713.36,35467.53,-6.210322581
2017-06-01,781.67,36722.84,9.293333333
2017-07-01,833.37,33238.37,4.681290323
2017-08-01,2126.46,34202.6,-28.07193548
2017-09-01,1575.26,30297.46,-15.57266667
2017-10-01,2220.04,32366.09,5.400967742
2017-11-01,2959.5,30036.25,-6.356333333
2017-12-01,3156.39,23669.89,4.650967742
2018-01-01,3050.76,26497.55,-8.383870968
2018-02-01,1954.62,27929.43,-6.285357143
2018-03-01,1119.31,28505.13,-6.48516129
2018-04-01,846.16,27033.84,4.171
2018-05-01,822.51,35711.61,5.491935484
2018-06-01,1122.15,36490.28,-1.925333333
2018-07-01,1358.05,32241.48,16.46903226
2018-08-01,1245.85,32004.46,-14.13290323
2018-09-01,1063.28,34323.18,-20.846
2018-10-01,1362.92,31596.54,-21.80322581
2018-11-01,1075.19,37120.62,11.02266667
2018-12-01,852.24,36612.3,-0.077741935
2019-01-01,762.82,29963.17,-3.668709677
2019-02-01,693.13,32534.08,0.095357143
2019-03-01,744.59,33337.81,-3.355806452
2019-04-01,765.98,31773.1,-1.312
2019-05-01,879.33,37148.86,3.117741935
2019-06-01,1030.05,34964.42,-28.806
2019-07-01,1273.62,29242.11,7.821612903
2019-08-01,1797.46,33273.72,36.29129032
2019-09-01,2935.01,26415.7,36.209
2019-10-01,3137.59,23801.42,5.586451613
2019-11-01,4247.67,28054.79,1.563333333
2020-01-01,3813.64,22480.15,10.55645161
2020-02-01,2186.85,16455.2,-7.529655172
2020-04-01,960.0,16799.24,7.59
2020-05-01,737.44,13063.79,-5.262
2020-06-01,931.81,21133.68,0.207741935
2020-07-01,1013.8,23947.84,19.85566667
2020-08-01,1167.34,22130.24,1.969354839
2020-09-01,2285.37,27907.38,21.9590625
2020-10-01,3347.8,19511.4,-7.654
2020-11-01,3515.63,24057.51,-1.848709677
2020-12-01,2199.66,33677.28,-4.340333333
2021-01-01,2552.22,24848.16,4.49625
2021-02-01,3404.55,22727.87,7.77875
2021-03-01,1685.27,29723.94,-8.734642857
2021-04-01,1153.47,23252.35,-6.286129032
2021-05-01,1364.71,22576.05,-2.735333333
2021-06-01,1932.56,23618.59,21.17967742
2021-07-01,1982.05,25880.33,18.56483871
2021-08-01,1834.85,22738.47,-22.476875
2021-09-01,1708.51,32545.56,-34.88387097
2021-10-01,2732.56,27173.47,17.92966667
2021-11-01,1752.27,31170.51,15.33290323
2021-12-01,1807.55,27180.86,15.294
2022-01-01,2237.66,25077.97,5.069032258
2022-02-01,2454.53,28037.27,12.27
2022-03-01,1911.85,30132.5,0.138214286
2022-04-01,1276.47,32211.7,-10.95483871
2022-05-01,1125.83,29871.31,11.794
2022-06-01,1257.87,30760.91,17.848125
2022-07-01,1311.59,28250.27,-11.272
2022-08-01,1314.69,36494.52,19.28064516
2022-09-01,1253.39,29518.32,3.581290323
2022-10-01,1720.32,31991.38,-5.441333333
2022-11-01,1725.99,38495.49,31.82419355
2022-12-01,1511.8,36347.79,-3.995
2023-01-01,1711.62,25553.29,0.431935484
2023-02-01,1486.67,33393.31,-7.201612903
2023-03-01,1201.28,30777.91,-7.281785714
2023-04-01,978.56,29389.85,-0.97
2023-05-01,1005.09,36634.02,-1.825
2023-06-01,1054.02,32482.57,2.321290323
2023-07-01,1449.15,32683.17,-31.486
2023-08-01,1766.36,30712.78,17.52612903
2023-09-01,2003.97,32793.49,-65.0396875
2023-10-01,2711.78,28621.13,-18.975
2023-11-01,3663.16,21522.59,-16.2696875
2024-01-01,1916.92,35143.75,13.67612903
2024-02-01,1560.51,31384.82,-3.741935484
2024-03-01,1662.76,27360.76,-0.504827586
2024-04-01,1583.6,27563.49,2.148064516
2024-05-01,1685.28,33794.64,-6.434333333
2024-06-01,2280.3,388.3,-4.588
2024-07-01,2830.13,54969.52,-8.743939394
2024-08-01,3206.17,66429.68,23.12366667
2024-09-01,3975.75,57872.68,26.4246875
2024-10-01,3787.82,36675.79,-2.901290323
2024-11-01,3598.94,32556.52,-3.69
2024-12-01,2737.55,38307.69,-8.504333333
2025-01-01,2200.01,10766.33,6.972580645
