month,price,yield,rain_index
2015-01-01,672.65,40872.22,2.809032258
2015-02-01,610.75,35886.49,-4.805357143
2015-03-01,599.91,41969.93,22.54032258
2015-04-01,458.83,42091.7,17.84733333
2015-05-01,526.74,40109.4,-4.51516129
2015-06-01,690.12,35774.25,16.087
2015-07-01,808.82,36627.62,-37.69516129
2015-08-01,752.79,32856.47,-26.4383871
2015-09-01,828.83,45679.95,-37.18966667
2015-10-01,1156.36,42564.59,-26.00967742
2015-11-01,1049.93,54811.61,10.81033333
2015-12-01,666.56,53366.88,6.179354839
2016-01-01,505.81,50838.4,-5.317741935
2016-02-01,586.06,57080.49,-8.672068966
2016-03-01,741.78,47876.9,-0.044193548
2016-04-01,939.49,43850.91,4.029333333
2016-05-01,1185.88,35069.88,1.621290323
2016-06-01,1386.59,29959.8,-13.176
2016-07-01,1412.58,38284.77,26.79903226
2016-08-01,1372.11,37247.58,-6.613870968
2016-09-01,1225.33,34437.67,-8.578666667
2016-10-01,1113.11,50813.17,-8.438064516
2016-11-01,920.84,60584.34,-11.75166667
2016-12-01,527.7,58517.22,-2.936129032
2017-01-01,492.01,47837.68,-0.494516129
2017-02-01,481.93,47909.15,-1.988928571
2017-03-01,438.38,51898.72,2.959677419
2017-04-01,439.12,44689.1,7.295333333
2017-05-01,437.15,39164.58,-6.210322581
2017-06-01,596.63,33315.89,9.293333333
2017-07-01,631.24,42252.3,4.681290323
2017-08-01,561.55,39581.75,-28.07193548
2017-09-01,598.18,56160.33,-15.57266667
2017-10-01,601.35,42483.43,5.400967742
2017-11-01,691.0,56413.3,-6.356333333
2017-12-01,676.62,49660.25,4.650967742
2018-01-01,484.9,48320.78,-8.383870968
2018-02-01,497.92,46705.06,-6.285357143
2018-03-01,722.29,54787.19,-6.48516129
2018-04-01,867.29,44018.1,4.171
2018-05-01,1130.78,47159.2,5.491935484
2018-06-01,1176.3,43045.9,-1.925333333
2018-07-01,1169.21,41173.72,16.46903226
2018-08-01,1225.73,42397.22,-14.13290323
2018-09-01,1301.72,40667.51,-20.846
2018-10-01,1484.75,47595.88,-21.80322581
2018-11-01,1205.45,49149.06,11.02266667
2018-12-01,576.07,51169.42,-0.077741935
2019-01-01,594.57,47793.67,-3.668709677
2019-02-01,556.94,43759.35,0.095357143
2019-03-01,569.33,45944.47,-3.355806452
2019-04-01,679.99,42877.91,-1.312
2019-05-01,767.38,36160.76,3.117741935
2019-06-01,786.52,32918.76,-28.806
2019-07-01,938.55,34178.94,7.821612903
2019-08-01,951.1,41315.53,36.29129032
2019-09-01,949.89,41570.15,36.209
2019-10-01,1156.58,42175.85,5.586451613
2019-11-01,1147.34,56205.99,1.563333333
2019-12-01,1403.05,43366.37,5.868387097
2020-01-01,1434.19,41746.0,10.55645161
2020-02-01,833.97,27474.1,-7.529655172
2020-04-01,1403.54,16917.24,7.59
2020-05-01,1489.81,14234.38,-5.262
2020-06-01,1789.44,18993.48,0.207741935
2020-07-01,2001.85,23117.93,19.85566667
2020-08-01,2460.46,20872.79,1.969354839
2020-09-01,2557.23,20338.27,21.9590625
2020-10-01,2782.66,27933.12,-7.654
2020-11-01,3114.98,27466.46,-1.848709677
2020-12-01,1666.25,36300.89,-4.340333333
2021-01-01,856.65,36998.3,4.49625
2021-02-01,580.98,36472.65,7.77875
2021-03-01,637.93,44563.31,-8.734642857
2021-04-01,758.46,36289.5,-6.286129032
2021-05-01,851.44,24258.06,-2.735333333
2021-06-01,944.58,28100.0,21.17967742
2021-07-01,968.96,32882.8,18.56483871
2021-08-01,954.15,34705.7,-22.476875
2021-09-01,832.13,40135.09,-34.88387097
2021-10-01,1126.39,40730.7,17.92966667
2021-11-01,1430.85,45386.75,15.33290323
2021-12-01,795.44,48856.14,15.294
2022-01-01,747.0,40383.99,5.069032258
2022-02-01,817.89,38549.4,12.27
2022-03-01,848.38,43012.03,0.138214286
2022-04-01,1013.16,39468.4,-10.95483871
2022-05-01,1255.61,31006.03,11.794
2022-06-01,1425.53,31738.98,17.848125
2022-07-01,1734.29,38480.08,-11.272
2022-08-01,1566.91,40489.93,19.28064516
2022-09-01,1555.46,43452.24,3.581290323
2022-10-01,1786.2,40652.56,-5.441333333
2022-11-01,1599.26,50894.72,31.82419355
2022-12-01,1288.89,51449.87,-3.995
2023-01-01,820.02,44775.43,0.431935484
2023-02-01,614.74,47741.57,-7.201612903
2023-03-01,639.91,43276.16,-7.281785714
2023-04-01,860.75,32459.65,-0.97
2023-05-01,1052.15,33099.8,-1.825
2023-06-01,1184.63,35364.05,2.321290323
2023-07-01,1398.36,38770.86,-31.486
2023-08-01,1276.61,37907.45,17.52612903
2023-09-01,1194.9,39742.39,-65.0396875
2023-10-01,1203.62,49154.41,-18.975
2023-11-01,1170.67,44817.19,-16.2696875
2023-12-01,922.33,24542.74,-0.41
2024-01-01,774.42,47137.45,13.67612903
2024-02-01,804.54,45555.7,-3.741935484
2024-03-01,1089.86,34853.95,-0.504827586
2024-04-01,1464.67,38539.73,2.148064516
2024-05-01,1615.93,36107.47,-6.434333333
2024-06-01,1713.4,1187.3,-4.588
2024-07-01,2196.89,73004.68,-8.743939394
2024-08-01,2103.0,86694.68,23.12366667
2024-09-01,2156.37,78262.16,26.4246875
2024-10-01,2078.7,54271.09,-2.901290323
2024-11-01,2109.32,42479.42,-3.69
2024-12-01,2005.64,49510.25,-8.504333333
2025-01-01,1434.83,26215.06,6.972580645
