month,value
2003-06-01,4200.00
2003-07-01,3675.00
2003-08-01,2270.59
2003-10-01,2725.00
2003-11-01,2285.71
2004-01-01,2800.00
2004-02-01,2600.00
2004-03-01,2320.00
2004-04-01,2400.00
2004-05-01,2733.33
2004-06-01,3333.33
2004-08-01,2380.00
2004-09-01,2666.67
2004-10-01,2956.25
2004-11-01,2700.00
2004-12-01,2666.67
2005-03-01,3514.29
2005-04-01,4253.85
2005-05-01,4675.00
2005-06-01,2250.33
2005-07-01,2443.00
2005-08-01,1883.87
2005-09-01,1790.65
2005-10-01,2173.34
2005-11-01,2075.00
2005-12-01,2121.12
2006-01-01,1735.47
2006-02-01,1525.11
2006-03-01,1657.32
2006-04-01,2985.18
2006-05-01,2804.29
2006-06-01,2310.80
2006-07-01,3187.98
2006-08-01,2334.36
2006-09-01,2277.74
2006-10-01,2296.75
2006-11-01,2731.09
2006-12-01,3695.25
2007-01-01,4328.25
2007-02-01,4545.54
2007-03-01,3967.93
2007-04-01,2832.94
2007-05-01,2823.71
2007-06-01,2284.13
2007-07-01,1959.00
2007-08-01,1888.80
2007-09-01,1842.60
2007-10-01,2318.43
2007-11-01,2662.20
2007-12-01,3138.64
2008-01-01,3210.60
2008-02-01,3677.41
2008-03-01,3491.95
2008-04-01,3155.33
2008-05-01,3528.45
2008-06-01,4438.15
2008-07-01,4376.06
2008-08-01,3409.60
2008-09-01,2974.03
2008-10-01,2666.17
2008-11-01,2749.61
2008-12-01,3301.03
2009-01-01,3384.90
2009-02-01,3282.06
2009-03-01,2921.81
2009-04-01,4165.35
2009-05-01,4158.07
2009-06-01,4450.88
2009-07-01,3229.67
2009-08-01,4804.48
2009-09-01,4313.62
2009-10-01,3751.69
2009-11-01,3907.00
2009-12-01,3293.59
2010-01-01,2679.25
2010-02-01,2923.29
2010-03-01,3010.08
2010-04-01,2964.69
2010-05-01,2870.39
2010-06-01,2846.04
2010-07-01,4120.04
2010-08-01,4179.62
2010-09-01,2598.90
2010-10-01,2809.84
2010-11-01,2590.04
2010-12-01,2526.61
2011-01-01,2886.04
2011-02-01,3098.40
2011-03-01,4009.06
2011-04-01,4502.76
2011-05-01,6585.81
2011-06-01,4744.33
2011-07-01,3592.87
2011-08-01,4185.52
2011-09-01,3724.10
2011-10-01,3652.82
2011-11-01,2584.11
2011-12-01,2627.00
2012-01-01,2674.33
2012-02-01,3000.75
2012-03-01,3574.46
2012-04-01,4712.26
2012-05-01,5281.88
2012-06-01,5291.63
2012-07-01,4463.33
2012-08-01,3674.55
2012-09-01,3980.21
2012-10-01,4459.97
2012-11-01,3046.78
2012-12-01,2958.34
2013-01-01,3175.23
2013-02-01,3124.60
2013-03-01,3429.24
2013-04-01,3814.98
2013-05-01,3452.75
2013-06-01,5404.44
2013-07-01,3412.31
2013-08-01,3119.58
2013-09-01,3488.82
2013-10-01,3749.37
2013-11-01,4037.21
2013-12-01,4934.29
2014-01-01,4783.15
2014-02-01,4860.89
2014-03-01,6229.53
2014-04-01,9255.36
2014-05-01,9909.82
2014-06-01,10431.82
2014-07-01,5270.44
2014-08-01,4119.14
2014-09-01,4737.90
2014-10-01,5573.19
2014-11-01,6509.97
2014-12-01,6630.12
2015-01-01,6686.82
2015-02-01,6480.62
2015-03-01,5536.82
2015-04-01,6718.14
2015-05-01,7216.46
2015-06-01,8059.52
2015-07-01,5497.13
2015-08-01,4102.19
2015-09-01,3606.78
2015-10-01,4991.98
2015-11-01,5302.61
2015-12-01,4588.30
2016-01-01,4238.31
2016-02-01,4439.14
2016-03-01,4580.89
2016-04-01,6570.29
2016-05-01,7276.00
2016-06-01,7183.84
2016-07-01,5830.77
2016-08-01,4740.59
2016-09-01,5693.85
2016-10-01,4976.52
2016-11-01,4856.05
2016-12-01,5450.99
2017-01-01,5120.73
2017-02-01,5823.55
2017-03-01,6450.60
2017-04-01,6762.30
2017-05-01,6107.54
2017-06-01,5629.38
2017-07-01,5849.75
2017-08-01,4207.52
2017-09-01,3576.00
2017-10-01,3439.84
2017-11-01,3825.26
2017-12-01,3936.41
2018-01-01,4073.55
2018-02-01,4418.02
2018-03-01,4761.54
2018-04-01,5198.91
2018-05-01,5155.72
2018-06-01,5225.38
2018-07-01,4580.49
2018-08-01,5250.43
2018-09-01,3944.97
2018-10-01,5427.50
2018-11-01,5594.18
2018-12-01,6301.55
2019-01-01,4985.94
2019-02-01,4581.36
2019-03-01,4798.62
2019-04-01,6372.18
2019-05-01,6232.42
2019-06-01,5758.74
2019-07-01,6546.62
2019-08-01,5905.21
2019-09-01,3670.85
2019-10-01,4647.43
2019-11-01,4175.68
2019-12-01,4784.71
2020-04-01,6661.27
2020-05-01,6817.31
2020-06-01,5349.26
2020-07-01,6286.91
2020-08-01,7098.82
2020-09-01,5089.72
2020-10-01,4294.93
2020-11-01,3723.96
2020-12-01,5515.85
2021-05-01,10037.50
2022-01-01,5085.31
2022-02-01,5302.00
2022-03-01,5978.24
2022-04-01,7513.78
2022-05-01,6336.31
2022-06-01,6666.86
2022-07-01,4740.53
2022-08-01,3721.99
2022-09-01,4289.05
2022-10-01,4233.60
