month,value
2001-06-01,234.00
2003-06-01,1.10
2003-07-01,0.70
2003-08-01,6.50
2003-10-01,10.10
2003-11-01,8.60
2004-01-01,3.10
2004-02-01,3.50
2004-03-01,1.60
2004-04-01,0.10
2004-05-01,0.40
2004-06-01,0.30
2004-08-01,7.90
2004-09-01,30.40
2004-10-01,32.70
2004-11-01,6.50
2004-12-01,1.90
2005-03-01,11.80
2005-04-01,12.80
2005-05-01,1.00
2005-06-01,69.00
2005-07-01,18058.00
2005-08-01,122499.90
2005-09-01,126488.90
2005-10-01,119145.80
2005-11-01,98013.70
2005-12-01,95433.70
2006-01-01,51870.80
2006-02-01,38400.30
2006-03-01,31841.60
2006-04-01,4191.09
2006-05-01,1131.60
2006-06-01,743.00
2006-07-01,14808.21
2006-08-01,53195.15
2006-09-01,69893.80
2006-10-01,45979.28
2006-11-01,44217.05
2006-12-01,19600.38
2007-01-01,12248.41
2007-02-01,6366.45
2007-03-01,3621.00
2007-04-01,1015.00
2007-05-01,1323.00
2007-06-01,613.00
2007-07-01,25468.10
2007-08-01,14767.60
2007-09-01,33008.30
2007-10-01,37739.30
2007-11-01,62404.40
2007-12-01,21943.60
2008-01-01,51568.60
2008-02-01,32352.10
2008-03-01,9156.50
2008-04-01,3222.00
2008-05-01,2533.10
2008-06-01,1284.00
2008-07-01,37375.70
2008-08-01,69804.00
2008-09-01,138895.20
2008-10-01,121035.80
2008-11-01,103793.80
2008-12-01,67911.90
2009-01-01,48295.70
2009-02-01,28891.10
2009-03-01,9029.20
2009-04-01,3037.30
2009-05-01,2395.30
2009-06-01,1649.50
2009-07-01,10926.60
2009-08-01,59526.40
2009-09-01,68831.70
2009-10-01,108971.50
2009-11-01,97142.60
2009-12-01,84232.50
2010-01-01,46284.20
2010-02-01,21711.50
2010-03-01,9421.60
2010-04-01,3834.80
2010-05-01,3595.90
2010-06-01,3060.80
2010-07-01,47653.00
2010-08-01,117722.80
2010-09-01,131738.00
2010-10-01,124464.20
2010-11-01,111573.10
2010-12-01,86551.50
2011-01-01,33099.00
2011-02-01,15979.70
2011-03-01,7149.70
2011-04-01,5545.30
2011-05-01,2006.20
2011-06-01,188.60
2011-07-01,15492.80
2011-08-01,53395.00
2011-09-01,83726.10
2011-10-01,115347.50
2011-11-01,94065.50
2011-12-01,64272.30
2012-01-01,40742.80
2012-02-01,30036.40
2012-03-01,12017.70
2012-04-01,4396.20
2012-05-01,3941.20
2012-06-01,2206.20
2012-07-01,10808.80
2012-08-01,72760.00
