month,value
2003-03-01,400.68
2003-04-01,466.79
2003-05-01,472.55
2003-06-01,431.38
2003-07-01,525.91
2003-08-01,579.67
2003-09-01,742.07
2003-10-01,988.98
2003-11-01,724.73
2003-12-01,796.80
2004-01-01,934.31
2004-02-01,897.48
2004-03-01,652.79
2004-04-01,470.68
2004-05-01,385.33
2004-06-01,375.18
2004-07-01,321.54
2004-08-01,571.24
2004-09-01,556.00
2004-10-01,648.81
2004-11-01,612.71
2004-12-01,468.16
2005-01-01,490.20
2005-02-01,416.53
2005-03-01,392.00
2005-04-01,398.11
2005-05-01,375.97
2005-06-01,383.55
2005-07-01,482.78
2005-08-01,660.78
2005-09-01,1022.18
2005-10-01,1254.47
2005-11-01,1097.44
2005-12-01,721.75
2006-01-01,529.27
2006-02-01,367.08
2006-03-01,350.99
2006-04-01,358.87
2006-05-01,311.29
2006-06-01,380.10
2006-07-01,447.18
2006-08-01,437.29
2006-09-01,434.91
2006-10-01,499.65
2006-11-01,450.02
2006-12-01,632.52
2007-01-01,1038.13
2007-02-01,1242.57
2007-03-01,869.99
2007-04-01,628.07
2007-05-01,526.50
2007-06-01,683.87
2007-07-01,941.56
2007-08-01,1079.46
2007-09-01,1343.50
2007-10-01,1466.08
2007-11-01,962.69
2007-12-01,666.30
2008-01-01,481.86
2008-02-01,416.64
2008-03-01,513.43
2008-04-01,469.56
2008-05-01,417.83
2008-06-01,441.59
2008-07-01,651.96
2008-08-01,845.47
2008-09-01,759.75
2008-10-01,815.18
2008-11-01,1080.53
2008-12-01,1202.57
2009-01-01,1358.31
2009-02-01,1145.16
2009-03-01,1014.53
2009-04-01,756.85
2009-05-01,662.54
2009-06-01,689.74
2009-07-01,747.10
2009-08-01,810.80
2009-09-01,843.11
2009-10-01,1534.11
2009-11-01,1381.39
2009-12-01,1344.55
2010-01-01,1417.04
2010-02-01,1270.49
2010-03-01,873.77
2010-04-01,676.85
2010-05-01,540.63
2010-06-01,602.45
2010-07-01,755.57
2010-08-01,837.96
2010-09-01,1321.47
2010-10-01,1490.53
2010-11-01,1763.24
2010-12-01,2537.48
2011-01-01,2940.88
2011-02-01,1111.20
2011-03-01,706.34
2011-04-01,574.96
2011-05-01,548.94
2011-06-01,598.83
2011-07-01,896.63
2011-08-01,1111.92
2011-09-01,1160.53
2011-10-01,1123.41
2011-11-01,889.59
2011-12-01,630.50
2012-01-01,593.42
2012-02-01,621.12
2012-03-01,672.55
2012-04-01,592.48
2012-05-01,558.66
2012-06-01,601.28
2012-07-01,711.78
2012-08-01,725.35
2012-09-01,731.07
2012-10-01,1040.04
2012-11-01,1119.71
2012-12-01,1241.88
2013-01-01,1505.71
2013-02-01,1809.54
2013-03-01,1303.22
2013-04-01,1085.09
2013-05-01,933.67
2013-06-01,1296.57
2013-07-01,2133.09
2013-08-01,3879.24
2013-09-01,4730.55
2013-10-01,4145.54
2013-11-01,3622.89
2013-12-01,1737.64
2014-01-01,1250.49
2014-02-01,1046.75
2014-03-01,1112.96
2014-04-01,1076.66
2014-05-01,1097.07
2014-06-01,1258.72
2014-07-01,2118.43
2014-08-01,1849.40
2014-09-01,1768.33
2014-10-01,1754.53
2014-11-01,1735.42
2014-12-01,1718.32
2015-01-01,1641.33
2015-02-01,1791.91
2015-03-01,1599.22
2015-04-01,1371.01
2015-05-01,1369.90
2015-06-01,1696.18
2015-07-01,2036.57
2015-08-01,3542.41
2015-09-01,4086.45
2015-10-01,3167.73
2015-11-01,2216.43
2015-12-01,1435.02
2016-01-01,1266.73
2016-02-01,997.00
2016-03-01,990.49
2016-04-01,839.37
2016-05-01,727.87
2016-06-01,758.07
2016-07-01,771.59
2016-08-01,766.59
2016-09-01,663.42
2016-10-01,777.91
2016-11-01,953.98
2016-12-01,907.06
2017-01-01,852.08
2017-02-01,806.73
2017-03-01,825.38
2017-04-01,819.33
2017-05-01,713.36
2017-06-01,781.67
2017-07-01,833.37
2017-08-01,2126.46
2017-09-01,1575.26
2017-10-01,2220.04
2017-11-01,2959.50
2017-12-01,3156.39
2018-01-01,3050.76
2018-02-01,1954.62
2018-03-01,1119.31
2018-04-01,846.16
2018-05-01,822.51
2018-06-01,1122.15
2018-07-01,1358.05
2018-08-01,1245.85
2018-09-01,1063.28
2018-10-01,1362.92
2018-11-01,1075.19
2018-12-01,852.24
2019-01-01,762.82
2019-02-01,693.13
2019-03-01,744.59
2019-04-01,765.98
2019-05-01,879.33
2019-06-01,1030.05
2019-07-01,1273.62
2019-08-01,1797.46
2019-09-01,2935.01
2019-10-01,3137.59
2019-11-01,4247.67
2020-01-01,3813.64
2020-02-01,2186.85
2020-04-01,960.00
2020-05-01,737.44
2020-06-01,931.81
2020-07-01,1013.80
2020-08-01,1167.34
2020-09-01,2285.37
2020-10-01,3347.80
2020-11-01,3515.63
2020-12-01,2199.66
2021-01-01,2552.22
2021-02-01,3404.55
2021-03-01,1685.27
2021-04-01,1153.47
2021-05-01,1364.71
2021-06-01,1932.56
2021-07-01,1982.05
2021-08-01,1834.85
2021-09-01,1708.51
2021-10-01,2732.56
2021-11-01,1752.27
2021-12-01,1807.55
2022-01-01,2237.66
2022-02-01,2454.53
2022-03-01,1911.85
2022-04-01,1276.47
2022-05-01,1125.83
2022-06-01,1257.87
2022-07-01,1311.59
2022-08-01,1314.69
2022-09-01,1253.39
2022-10-01,1720.32
2022-11-01,1725.99
2022-12-01,1511.80
2023-01-01,1711.62
2023-02-01,1486.67
2023-03-01,1201.28
2023-04-01,978.56
2023-05-01,1005.09
2023-06-01,1054.02
2023-07-01,1449.15
2023-08-01,1766.36
2023-09-01,2003.97
2023-10-01,2711.78
2023-11-01,3663.16
2024-01-01,1916.92
2024-02-01,1560.51
2024-03-01,1662.76
2024-04-01,1583.60
2024-05-01,1685.28
2024-06-01,2280.30
2024-07-01,2830.13
2024-08-01,3206.17
2024-09-01,3975.75
2024-10-01,3787.82
2024-11-01,3598.94
2024-12-01,2737.55
2025-01-01,2200.01
