month,value
2003-03-01,2165.01
2003-04-01,2612.02
2003-05-01,2185.34
2003-06-01,2624.33
2003-07-01,3146.05
2003-08-01,2515.88
2003-09-01,1357.02
2003-10-01,1792.60
2003-11-01,1662.04
2003-12-01,1064.37
2004-01-01,1256.88
2004-02-01,1730.85
2004-03-01,1464.77
2004-04-01,1712.17
2004-05-01,2625.17
2004-06-01,2736.05
2004-07-01,1289.30
2004-08-01,2063.86
2004-09-01,3780.90
2004-10-01,6190.95
2004-11-01,3022.63
2004-12-01,3857.17
2005-01-01,3857.78
2005-02-01,3291.52
2005-03-01,2272.23
2005-04-01,19004.34
2005-05-01,44468.47
2005-06-01,13622.24
2005-07-01,34637.62
2005-08-01,27849.04
2005-09-01,24157.92
2005-10-01,19248.10
2005-11-01,32043.50
2005-12-01,32537.61
2006-01-01,27095.15
2006-02-01,24388.92
2006-03-01,35434.01
2006-04-01,33831.98
2006-05-01,25790.99
2006-06-01,7859.13
2006-07-01,7957.48
2006-08-01,10030.27
2006-09-01,17260.42
2006-10-01,15138.63
2006-11-01,19857.07
2006-12-01,13498.46
2007-01-01,11789.02
2007-02-01,18171.12
2007-03-01,26665.51
2007-04-01,19784.22
2007-05-01,28288.86
2007-06-01,30588.67
2007-07-01,7397.87
2007-08-01,9085.20
2007-09-01,10587.86
2007-10-01,7562.18
2007-11-01,18006.96
2007-12-01,10920.38
2008-01-01,23237.62
2008-02-01,25190.36
2008-03-01,20695.67
2008-04-01,27640.79
2008-05-01,33829.05
2008-06-01,32993.95
2008-07-01,36293.20
2008-08-01,26717.20
2008-09-01,27139.80
2008-10-01,22927.90
2008-11-01,23804.80
2008-12-01,21188.20
2009-01-01,23610.00
2009-02-01,24841.80
2009-03-01,32708.28
2009-04-01,29836.19
2009-05-01,29285.43
2009-06-01,35054.49
2009-07-01,35107.82
2009-08-01,29103.64
2009-09-01,21195.56
2009-10-01,29601.43
2009-11-01,37471.72
2009-12-01,42790.89
2010-01-01,21821.31
2010-02-01,25799.27
2010-03-01,28160.57
2010-04-01,34059.82
2010-05-01,32564.75
2010-06-01,38511.57
2010-07-01,33558.75
2010-08-01,30064.49
2010-09-01,31247.61
2010-10-01,21150.92
2010-11-01,29537.35
2010-12-01,33494.57
2011-01-01,18845.46
2011-02-01,23610.62
2011-03-01,32437.51
2011-04-01,28972.65
2011-05-01,31664.82
2011-06-01,35368.70
2011-07-01,30781.91
2011-08-01,29130.11
2011-09-01,30944.73
2011-10-01,31195.37
2011-11-01,37744.66
2011-12-01,44752.83
2012-01-01,35681.54
2012-02-01,30966.47
2012-03-01,29549.40
2012-04-01,29883.36
2012-05-01,32920.56
