month,value
2003-03-01,229.68
2003-04-01,234.61
2003-05-01,255.93
2003-06-01,321.09
2003-07-01,377.65
2003-08-01,311.74
2003-09-01,275.34
2003-10-01,340.77
2003-11-01,326.38
2003-12-01,258.60
2004-01-01,228.30
2004-02-01,222.12
2004-03-01,268.32
2004-04-01,389.08
2004-05-01,454.42
2004-06-01,456.20
2004-07-01,420.38
2004-08-01,508.39
2004-09-01,541.54
2004-10-01,590.47
2004-11-01,509.20
2004-12-01,243.31
2005-01-01,262.10
2005-02-01,239.72
2005-03-01,243.91
2005-04-01,418.16
2005-05-01,464.74
2005-06-01,492.43
2005-07-01,589.58
2005-08-01,623.92
2005-09-01,570.47
2005-10-01,675.51
2005-11-01,723.42
2005-12-01,549.67
2006-01-01,510.99
2006-02-01,440.31
2006-03-01,482.31
2006-04-01,492.60
2006-05-01,540.55
2006-06-01,596.90
2006-07-01,621.95
2006-08-01,595.22
2006-09-01,724.53
2006-10-01,877.14
2006-11-01,786.06
2006-12-01,391.61
2007-01-01,314.06
2007-02-01,374.56
2007-03-01,510.86
2007-04-01,545.46
2007-05-01,598.21
2007-06-01,663.32
2007-07-01,691.39
2007-08-01,730.22
2007-09-01,783.59
2007-10-01,831.17
2007-11-01,692.52
2007-12-01,523.49
2008-01-01,422.44
2008-02-01,453.45
2008-03-01,415.35
2008-04-01,390.45
2008-05-01,412.42
2008-06-01,473.63
2008-07-01,573.13
2008-08-01,662.31
2008-09-01,588.89
2008-10-01,574.93
2008-11-01,501.77
2008-12-01,281.19
2009-01-01,248.40
2009-02-01,296.53
2009-03-01,458.91
2009-04-01,706.60
2009-05-01,766.41
2009-06-01,946.78
2009-07-01,1059.65
2009-08-01,1062.87
2009-09-01,1329.33
2009-10-01,1468.70
2009-11-01,1188.98
2009-12-01,704.43
2010-01-01,542.65
2010-02-01,415.39
2010-03-01,404.76
2010-04-01,451.31
2010-05-01,477.48
2010-06-01,615.24
2010-07-01,636.65
2010-08-01,623.30
2010-09-01,903.47
2010-10-01,923.34
2010-11-01,867.15
2010-12-01,514.13
2011-01-01,395.49
2011-02-01,387.62
2011-03-01,463.52
2011-04-01,461.28
2011-05-01,502.05
2011-06-01,585.16
2011-07-01,693.62
2011-08-01,703.91
2011-09-01,722.44
2011-10-01,655.16
2011-11-01,613.83
2011-12-01,365.43
2012-01-01,414.94
2012-02-01,456.61
2012-03-01,625.51
2012-04-01,905.75
2012-05-01,915.23
2012-06-01,1019.91
2012-07-01,1097.38
2012-08-01,1270.98
2012-09-01,1169.78
2012-10-01,1090.02
2012-11-01,1088.50
2012-12-01,682.63
2013-01-01,677.49
2013-02-01,705.77
2013-03-01,704.49
2013-04-01,889.49
2013-05-01,1004.53
2013-06-01,1049.13
2013-07-01,1028.22
2013-08-01,1151.61
2013-09-01,1151.28
2013-10-01,1581.43
2013-11-01,1567.76
2013-12-01,1128.25
2014-01-01,846.77
2014-02-01,737.53
