month,value
2003-03-01,3252.67
2003-04-01,3995.59
2003-05-01,2403.28
2003-06-01,3660.35
2003-07-01,4510.74
2003-08-01,5186.13
2003-09-01,3108.49
2003-10-01,4538.50
2003-11-01,4429.48
2003-12-01,3881.23
2004-01-01,5084.04
2004-02-01,6889.06
2004-03-01,3949.25
2004-04-01,1938.02
2004-05-01,1839.35
2004-06-01,3514.46
2004-07-01,3314.20
2004-08-01,4118.01
2004-09-01,10636.60
2004-10-01,18170.84
2004-11-01,11986.60
2004-12-01,13540.12
2005-01-01,11583.74
2005-02-01,9984.85
2005-03-01,7903.96
2005-04-01,28215.37
2005-05-01,34412.27
2005-06-01,12295.09
2005-07-01,34802.80
2005-08-01,34563.49
2005-09-01,45647.00
2005-10-01,43577.37
2005-11-01,55254.34
2005-12-01,53907.86
2006-01-01,36556.31
2006-02-01,27871.80
2006-03-01,44262.90
2006-04-01,33410.28
2006-05-01,26822.82
2006-06-01,17345.46
2006-07-01,10108.50
2006-08-01,13006.70
2006-09-01,23261.36
2006-10-01,18643.98
2006-11-01,24045.31
2006-12-01,24257.96
2007-01-01,25101.55
2007-02-01,33866.94
2007-03-01,40977.25
2007-04-01,25476.11
2007-05-01,31600.36
2007-06-01,28441.02
2007-07-01,11805.82
2007-08-01,8296.68
2007-09-01,15847.43
2007-10-01,26437.82
2007-11-01,37099.11
2007-12-01,25529.91
2008-01-01,36340.46
2008-02-01,36501.47
2008-03-01,39257.24
2008-04-01,49052.05
2008-05-01,42330.69
2008-06-01,35783.20
2008-07-01,52354.20
2008-08-01,41112.30
2008-09-01,41969.90
2008-10-01,38664.20
2008-11-01,52357.40
2008-12-01,49135.20
2009-01-01,41598.20
2009-02-01,40307.00
2009-03-01,48022.85
2009-04-01,47309.86
2009-05-01,38005.50
2009-06-01,28506.19
2009-07-01,35360.59
2009-08-01,33507.12
2009-09-01,36053.07
2009-10-01,35467.54
2009-11-01,48245.94
2009-12-01,60533.64
2010-01-01,49140.88
2010-02-01,42856.84
2010-03-01,48949.17
2010-04-01,43048.45
2010-05-01,38800.56
2010-06-01,36048.21
2010-07-01,41749.57
2010-08-01,77232.05
2010-09-01,44449.72
2010-10-01,39607.33
2010-11-01,52229.20
2010-12-01,64259.25
2011-01-01,46506.29
2011-02-01,40055.91
2011-03-01,48662.00
2011-04-01,44516.22
2011-05-01,35962.03
2011-06-01,32792.38
2011-07-01,37916.00
2011-08-01,40254.54
2011-09-01,47529.49
2011-10-01,44337.89
2011-11-01,54381.45
2011-12-01,59252.66
2012-01-01,47651.16
2012-02-01,44389.89
2012-03-01,47160.10
2012-04-01,35470.18
2012-05-01,32825.85
2012-06-01,32566.60
2012-07-01,34322.37
2012-08-01,34693.36
2012-09-01,90019.17
2012-10-01,41502.26
2012-11-01,41530.70
2012-12-01,41054.50
2013-01-01,149059.81
2013-02-01,116026.10
2013-03-01,133054.16
2013-04-01,113422.68
2013-05-01,98994.40
2013-06-01,93122.61
2013-07-01,97743.50
2013-08-01,91256.98
2013-09-01,104777.11
2013-10-01,124943.05
2013-11-01,183347.40
2013-12-01,162849.50
2014-01-01,141166.00
2014-02-01,127801.20
2014-03-01,116184.26
2014-04-01,110619.71
2014-05-01,87989.00
2014-06-01,69891.50
2014-07-01,69949.50
2014-08-01,28040.92
2014-09-01,61134.59
2014-10-01,28793.38
2014-11-01,49355.72
2014-12-01,49551.75
2015-01-01,40872.22
2015-02-01,35886.49
2015-03-01,41969.93
2015-04-01,42091.70
2015-05-01,40109.40
2015-06-01,35774.25
2015-07-01,36627.62
2015-08-01,32856.47
2015-09-01,45679.95
2015-10-01,42564.59
2015-11-01,54811.61
2015-12-01,53366.88
2016-01-01,50838.40
2016-02-01,57080.49
2016-03-01,47876.90
2016-04-01,43850.91
2016-05-01,35069.88
2016-06-01,29959.80
2016-07-01,38284.77
2016-08-01,37247.58
2016-09-01,34437.67
2016-10-01,50813.17
2016-11-01,60584.34
2016-12-01,58517.22
2017-01-01,47837.68
2017-02-01,47909.15
2017-03-01,51898.72
2017-04-01,44689.10
2017-05-01,39164.58
2017-06-01,33315.89
2017-07-01,42252.30
2017-08-01,39581.75
2017-09-01,56160.33
2017-10-01,42483.43
2017-11-01,56413.30
2017-12-01,49660.25
2018-01-01,48320.78
2018-02-01,46705.06
2018-03-01,54787.19
2018-04-01,44018.10
2018-05-01,47159.20
2018-06-01,43045.90
2018-07-01,41173.72
2018-08-01,42397.22
2018-09-01,40667.51
2018-10-01,47595.88
2018-11-01,49149.06
2018-12-01,51169.42
2019-01-01,47793.67
2019-02-01,43759.35
2019-03-01,45944.47
2019-04-01,42877.91
2019-05-01,36160.76
2019-06-01,32918.76
2019-07-01,34178.94
2019-08-01,41315.53
2019-09-01,41570.15
2019-10-01,42175.85
2019-11-01,56205.99
2019-12-01,43366.37
2020-01-01,41746.00
2020-02-01,27474.10
2020-03-01,27369.86
2020-04-01,16917.24
2020-05-01,14234.38
2020-06-01,18993.48
2020-07-01,23117.93
2020-08-01,20872.79
2020-09-01,20338.27
2020-10-01,27933.12
2020-11-01,27466.46
2020-12-01,36300.89
2021-01-01,36998.30
2021-02-01,36472.65
2021-03-01,44563.31
2021-04-01,36289.50
2021-05-01,24258.06
2021-06-01,28100.00
2021-07-01,32882.80
2021-08-01,34705.70
2021-09-01,40135.09
2021-10-01,40730.70
2021-11-01,45386.75
2021-12-01,48856.14
2022-01-01,40383.99
2022-02-01,38549.40
2022-03-01,43012.03
2022-04-01,39468.40
2022-05-01,31006.03
2022-06-01,31738.98
2022-07-01,38480.08
2022-08-01,40489.93
2022-09-01,43452.24
2022-10-01,40652.56
2022-11-01,50894.72
2022-12-01,51449.87
2023-01-01,44775.43
2023-02-01,47741.57
2023-03-01,43276.16
2023-04-01,32459.65
2023-05-01,33099.80
2023-06-01,35364.05
2023-07-01,38770.86
2023-08-01,37907.45
2023-09-01,39742.39
2023-10-01,49154.41
2023-11-01,44817.19
2023-12-01,24542.74
2024-01-01,47137.45
2024-02-01,45555.70
2024-03-01,34853.95
2024-04-01,38539.73
2024-05-01,36107.47
2024-06-01,1187.30
2024-07-01,73004.68
2024-08-01,86694.68
2024-09-01,78262.16
2024-10-01,54271.09
2024-11-01,42479.42
2024-12-01,49510.25
2025-01-01,26215.06
