month,value
2001-03-01,387.60
2001-04-01,461.30
2001-05-01,446.31
2001-06-01,531.52
2001-07-01,558.33
2001-08-01,532.64
2001-09-01,594.25
2001-10-01,659.28
2001-11-01,652.21
2001-12-01,583.78
2002-01-01,570.62
2002-02-01,606.53
2002-03-01,622.20
2002-04-01,592.97
2002-05-01,560.56
2002-06-01,579.20
2002-07-01,571.73
2002-08-01,571.96
2002-09-01,568.38
2002-10-01,589.04
2002-11-01,640.07
2002-12-01,734.58
2003-01-01,649.30
2003-02-01,654.12
2003-03-01,627.72
2003-04-01,589.60
2003-05-01,593.71
2003-06-01,607.89
2003-07-01,622.55
2003-08-01,602.25
2003-09-01,618.49
2003-10-01,639.23
2003-11-01,631.38
2003-12-01,625.46
2004-01-01,594.39
2004-02-01,585.26
2004-03-01,581.90
2004-04-01,613.84
2004-05-01,627.51
2004-06-01,610.01
2004-07-01,613.14
2004-08-01,626.23
2004-09-01,610.12
2004-10-01,614.51
2004-11-01,637.63
2004-12-01,623.17
2005-01-01,629.59
2005-02-01,603.65
2005-03-01,614.91
2005-04-01,710.85
2005-05-01,639.40
2005-06-01,632.37
2005-07-01,642.56
2005-08-01,637.97
2005-09-01,633.78
2005-10-01,657.73
2005-11-01,669.04
2005-12-01,657.99
2006-01-01,628.66
2006-02-01,625.39
2006-03-01,618.28
2006-04-01,620.47
2006-05-01,631.75
2006-06-01,637.90
2006-07-01,659.31
2006-08-01,643.71
2006-09-01,654.46
2006-10-01,677.36
2006-11-01,707.42
2006-12-01,679.13
2007-01-01,654.84
2007-02-01,655.69
2007-03-01,651.65
2007-04-01,664.99
2007-05-01,674.84
2007-06-01,662.78
2007-07-01,696.92
2007-08-01,722.01
2007-09-01,746.75
2007-10-01,783.38
2007-11-01,849.47
2007-12-01,822.24
2008-01-01,797.37
2008-02-01,793.90
2008-03-01,799.89
2008-04-01,800.24
2008-05-01,829.26
2008-06-01,855.77
2008-07-01,901.00
2008-08-01,924.05
2008-09-01,939.14
2008-10-01,1015.33
2008-11-01,1161.45
2008-12-01,1027.42
2009-01-01,1028.42
2009-02-01,1045.11
2009-03-01,997.00
2009-04-01,981.80
2009-05-01,981.02
2009-06-01,985.83
2009-07-01,989.75
2009-08-01,995.96
2009-09-01,1026.47
2009-10-01,1057.53
2009-11-01,1150.50
2009-12-01,1191.30
2010-01-01,1136.79
2010-02-01,1108.07
2010-03-01,1094.96
2010-04-01,1069.64
2010-05-01,1040.65
2010-06-01,1061.23
2010-07-01,1074.72
2010-08-01,1082.72
2010-09-01,1082.04
2010-10-01,1090.22
2010-11-01,1181.07
2010-12-01,1149.24
2011-01-01,1124.94
2011-02-01,1096.84
2011-03-01,1062.87
2011-04-01,1055.36
2011-05-01,1035.60
2011-06-01,1034.25
2011-07-01,1037.29
2011-08-01,1036.77
2011-09-01,1043.08
2011-10-01,1096.98
2011-11-01,1112.38
2011-12-01,1113.91
2012-01-01,1116.45
2012-02-01,1108.81
2012-03-01,1112.92
2012-04-01,1101.01
2012-05-01,1105.56
2012-06-01,1125.47
2012-07-01,1183.23
2012-08-01,1206.06
2012-09-01,1235.91
2012-10-01,1294.17
2012-11-01,1407.54
2012-12-01,1432.60
2013-01-01,1428.19
2013-02-01,1431.11
2013-03-01,1404.22
2013-04-01,1388.35
2013-05-01,1374.76
2013-06-01,1401.80
2013-07-01,1408.88
2013-08-01,1392.81
2013-09-01,1440.32
2013-10-01,1538.89
2013-11-01,1703.36
2013-12-01,1635.43
2014-01-01,1558.22
2014-02-01,1511.26
2014-03-01,1472.39
2014-04-01,1451.26
2014-05-01,1432.47
2014-06-01,1441.42
2014-07-01,1466.88
2014-08-01,1475.82
2014-09-01,1534.35
2014-10-01,1597.25
2014-11-01,1610.13
2014-12-01,1520.78
2015-01-01,1473.42
2015-02-01,1465.29
2015-03-01,1443.31
2015-04-01,1424.90
2015-05-01,1385.65
2015-06-01,1387.53
2015-07-01,1409.69
2015-08-01,1422.51
2015-09-01,1435.09
2015-10-01,1465.60
2015-11-01,1526.51
2015-12-01,1559.97
2016-01-01,1514.46
2016-02-01,1504.16
2016-03-01,1488.64
2016-04-01,1471.10
2016-05-01,1482.46
2016-06-01,1522.55
2016-07-01,1533.07
2016-08-01,1532.72
2016-09-01,1538.52
2016-10-01,1562.79
2016-11-01,1628.00
2016-12-01,1615.92
2017-01-01,1613.70
2017-02-01,1644.02
2017-03-01,1620.89
2017-04-01,1623.89
2017-05-01,1607.35
2017-06-01,1607.13
2017-07-01,1614.65
2017-08-01,1627.24
2017-09-01,1657.93
2017-10-01,1741.43
2017-11-01,1811.42
2017-12-01,1787.06
2018-01-01,1764.35
2018-02-01,1742.12
2018-03-01,1704.35
2018-04-01,1656.85
2018-05-01,1626.16
2018-06-01,1636.45
2018-07-01,1629.83
2018-08-01,1624.07
2018-09-01,1662.85
2018-10-01,1849.31
2018-11-01,1972.87
2018-12-01,1896.72
2019-01-01,1744.65
2019-02-01,1738.31
2019-03-01,1717.26
2019-04-01,1714.93
2019-05-01,1710.88
2019-06-01,1700.87
2019-07-01,1698.21
2019-08-01,1711.32
2019-09-01,1721.73
2019-10-01,1762.42
2019-11-01,1755.53
2019-12-01,1750.85
2020-01-01,1724.79
2020-02-01,1719.45
2020-03-01,1679.59
2020-04-01,1697.63
2020-05-01,1686.58
2020-06-01,1676.70
2020-07-01,1697.35
2020-08-01,1663.80
2020-09-01,1654.67
2020-10-01,1680.61
2020-11-01,1689.06
2020-12-01,1714.01
2021-01-01,1721.47
2021-02-01,1696.36
2021-03-01,1654.91
2021-04-01,1682.98
2021-05-01,1653.18
2021-06-01,1609.98
2021-07-01,1611.38
2021-08-01,1611.27
2021-09-01,1651.65
2021-10-01,1742.79
2021-11-01,1786.67
2021-12-01,1844.21
2022-01-01,1826.49
2022-02-01,1812.16
2022-03-01,1799.05
2022-04-01,1788.44
2022-05-01,1742.89
2022-06-01,1758.54
2022-07-01,1794.65
2022-08-01,1811.09
2022-09-01,1855.48
2022-10-01,1928.61
2022-11-01,1990.99
2022-12-01,2004.76
2023-01-01,2019.25
2023-02-01,1983.91
2023-03-01,1932.85
2023-04-01,1953.37
2023-05-01,1922.79
2023-06-01,1991.00
2023-07-01,2024.99
2023-08-01,2044.29
2023-09-01,2074.98
2023-10-01,2174.53
2023-11-01,2221.66
2023-12-01,2335.89
2024-01-01,2401.75
2024-02-01,2397.55
2024-03-01,2389.90
2024-04-01,2344.62
2024-05-01,2249.13
2024-06-01,2275.64
2024-07-01,2277.66
2024-08-01,2258.77
2024-09-01,2260.08
2024-10-01,2287.92
2024-11-01,2365.54
2024-12-01,2375.44
2025-01-01,2378.30
