month,value
2001-06-01,30.00
2001-08-01,14.00
2001-09-01,3212.00
2001-10-01,67982.00
2001-11-01,73220.00
2001-12-01,31322.00
2002-01-01,18451.90
2002-02-01,11369.70
2002-03-01,7476.10
2002-04-01,3919.90
2002-05-01,172.70
2002-06-01,684.40
2002-07-01,140.40
2002-08-01,35.20
2002-09-01,1290.30
2002-10-01,393486.40
2002-11-01,502008.00
2002-12-01,92608.90
2003-01-01,8481.40
2003-02-01,3744.60
2003-03-01,2167.00
2003-04-01,2048.80
2003-05-01,417.60
2003-06-01,84.50
2003-07-01,144.10
2003-08-01,76.40
2003-09-01,899.00
2003-10-01,58996.40
2003-11-01,108952.30
2003-12-01,66008.90
2004-01-01,19390.50
2004-02-01,14273.50
2004-03-01,7885.30
2004-04-01,4472.90
2004-05-01,1186.40
2004-06-01,1003.20
2004-07-01,613.90
2004-08-01,323.20
2004-09-01,3840.90
2004-10-01,76406.90
2004-11-01,105607.00
2004-12-01,55450.60
2005-01-01,26019.30
2005-02-01,17534.50
2005-03-01,6612.80
2005-04-01,21655.50
2005-05-01,15032.50
2005-06-01,7173.00
2005-07-01,773.00
2005-08-01,1890.80
2005-09-01,10122.00
2005-10-01,557287.10
2005-11-01,1043962.70
2005-12-01,652049.00
2006-01-01,224612.30
2006-02-01,38929.18
2006-03-01,13261.00
2006-04-01,11410.00
2006-05-01,8188.00
2006-06-01,1783.00
2006-07-01,607.00
2006-08-01,2654.08
2006-09-01,41058.10
2006-10-01,92709.23
2006-11-01,103241.07
2006-12-01,40743.92
2007-01-01,7988.59
2007-02-01,4539.81
2007-03-01,3915.80
2007-04-01,2881.24
2007-05-01,294.20
2007-06-01,131.70
2007-07-01,187.90
2007-08-01,280.09
2007-09-01,5810.55
2007-10-01,58495.91
2007-11-01,117399.20
2007-12-01,74119.10
2008-01-01,13373.50
2008-02-01,5550.92
2008-03-01,3073.97
2008-04-01,1596.60
2008-05-01,416.40
2008-06-01,264.80
2008-07-01,129.40
2008-08-01,671.30
2008-09-01,11988.86
2008-10-01,99195.20
2008-11-01,85711.30
2008-12-01,43587.00
2009-01-01,50344.10
2009-02-01,37707.80
2009-03-01,42648.80
2009-04-01,55271.20
2009-05-01,39832.90
2009-06-01,38732.50
2009-07-01,11356.90
2009-08-01,5491.00
2009-09-01,7088.20
2009-10-01,77527.40
2009-11-01,153333.10
2009-12-01,134131.40
2010-01-01,33158.30
2010-02-01,23429.70
2010-03-01,28731.20
2010-04-01,26548.90
2010-05-01,20045.70
2010-06-01,24708.80
2010-07-01,18765.00
2010-08-01,24696.50
2010-09-01,19128.80
2010-10-01,63841.55
2010-11-01,130054.80
2010-12-01,110690.90
2011-01-01,95340.80
2011-02-01,35968.70
2011-03-01,20855.80
2011-04-01,33579.70
2011-05-01,15439.40
2011-06-01,8895.60
2011-07-01,11361.30
2011-08-01,6363.70
2011-09-01,9338.70
2011-10-01,68715.50
2011-11-01,146946.40
2011-12-01,136269.00
2012-01-01,80226.49
2012-02-01,42572.30
2012-03-01,25087.30
2012-04-01,22172.10
2012-05-01,14548.00
2012-06-01,13815.20
2012-07-01,10744.80
2012-08-01,3807.50
2012-09-01,5348.10
2012-10-01,63324.60
2012-11-01,159641.10
2012-12-01,102206.10
2013-01-01,42790.70
2013-02-01,16664.00
2013-03-01,19047.30
2013-04-01,18891.90
2013-05-01,9212.00
2013-06-01,7042.00
2013-07-01,5770.60
2013-08-01,2975.50
2013-09-01,4981.20
2013-10-01,88108.30
2013-11-01,107721.00
2013-12-01,68009.10
2014-01-01,56485.90
2014-02-01,28942.30
2014-03-01,20271.80
2014-04-01,33184.00
2014-05-01,17592.00
2014-06-01,15392.70
2014-07-01,12531.30
2014-08-01,4465.90
2014-09-01,15010.60
2014-10-01,96355.90
2014-11-01,142491.50
2014-12-01,84201.90
2015-01-01,78717.60
2015-02-01,63300.50
2015-03-01,93031.90
2015-04-01,58714.10
2015-05-01,25930.10
2015-06-01,16056.40
2015-07-01,11894.90
2015-08-01,11735.30
2015-09-01,20609.60
2015-10-01,119264.80
2015-11-01,160285.90
2015-12-01,84481.80
2016-01-01,48540.50
2016-02-01,40282.60
2016-03-01,31755.20
2016-04-01,31040.60
2016-05-01,17814.20
2016-06-01,12601.70
2016-07-01,6177.60
2016-08-01,4821.70
2016-09-01,10646.40
2016-10-01,95284.80
2016-11-01,142735.50
2016-12-01,103241.30
2017-01-01,70301.20
2017-02-01,33803.70
2017-03-01,26006.40
2017-04-01,14153.80
2017-05-01,5472.60
2017-06-01,3838.30
2017-07-01,4652.00
2017-08-01,5380.50
2017-09-01,18326.40
2017-10-01,129104.00
2017-11-01,184234.40
2017-12-01,81937.30
2018-01-01,52888.40
2018-02-01,26175.10
2018-03-01,21115.70
2018-04-01,13376.80
2018-05-01,8576.50
2018-06-01,8769.50
2018-07-01,5813.10
2018-08-01,4864.20
2018-09-01,16458.70
2018-10-01,130509.50
2018-11-01,140249.10
2018-12-01,135446.50
2019-01-01,106400.90
2019-02-01,38967.80
2019-03-01,21323.40
2019-04-01,18008.40
2019-05-01,7012.20
2019-06-01,3484.00
2019-07-01,2086.20
2019-08-01,1296.10
2019-09-01,9474.10
2019-10-01,71263.70
2019-11-01,100188.20
2019-12-01,83842.70
2020-01-01,43194.30
2020-02-01,29955.00
2020-03-01,15234.60
2020-04-01,17483.20
2020-05-01,26318.50
2020-06-01,22454.60
2020-07-01,8180.10
2020-08-01,10070.10
2020-09-01,32617.30
2020-10-01,113600.10
2020-11-01,90035.90
2020-12-01,43780.10
2021-01-01,21412.50
2021-02-01,15812.50
2021-03-01,19236.20
2021-04-01,20463.40
2021-05-01,7460.50
2021-06-01,6771.80
2021-07-01,4089.20
2021-08-01,3123.10
2021-09-01,14528.80
2021-10-01,79252.50
2021-11-01,103294.60
2021-12-01,47786.00
2022-01-01,37025.00
2022-02-01,17103.90
2022-03-01,17074.40
2022-04-01,6502.00
2022-05-01,5555.40
2022-06-01,3290.30
2022-07-01,2161.30
2022-08-01,1500.40
2022-09-01,12398.50
2022-10-01,73537.10
2022-11-01,120147.50
2022-12-01,101395.40
2023-01-01,32933.40
2023-02-01,11151.30
2023-03-01,15323.70
2023-04-01,13127.30
2023-05-01,6030.70
2023-06-01,4472.40
2023-07-01,4470.90
2023-08-01,8117.00
2023-09-01,29958.20
2023-10-01,77112.90
2023-11-01,79239.20
2023-12-01,10346.40
2024-01-01,17107.80
2024-02-01,13469.10
2024-03-01,14289.70
2024-04-01,10534.30
2024-05-01,7110.70
2024-06-01,297.60
2024-07-01,12270.40
2024-08-01,12343.00
2024-09-01,43583.60
2024-10-01,72605.20
2024-11-01,71574.70
2024-12-01,33411.30
2025-01-01,11862.40
