month,value
2001-06-01,691.92
2001-08-01,580.00
2001-09-01,610.93
2001-10-01,638.80
2001-11-01,674.82
2001-12-01,635.58
2002-01-01,667.30
2002-02-01,650.28
2002-03-01,643.84
2002-04-01,659.26
2002-05-01,716.57
2002-06-01,714.66
2002-07-01,689.78
2002-08-01,677.86
2002-09-01,686.25
2002-10-01,653.08
2002-11-01,670.92
2002-12-01,727.00
2003-01-01,719.92
2003-02-01,726.12
2003-03-01,707.87
2003-04-01,695.33
2003-05-01,771.32
2003-06-01,770.81
2003-07-01,751.87
2003-08-01,741.59
2003-09-01,684.24
2003-10-01,744.65
2003-11-01,736.96
2003-12-01,766.61
2004-01-01,797.38
2004-02-01,785.55
2004-03-01,760.44
2004-04-01,716.99
2004-05-01,771.27
2004-06-01,726.64
2004-07-01,724.30
2004-08-01,750.22
2004-09-01,742.58
2004-10-01,755.46
2004-11-01,753.98
2004-12-01,762.52
2005-01-01,768.28
2005-02-01,775.20
2005-03-01,751.99
2005-04-01,735.20
2005-05-01,816.02
2005-06-01,812.46
2005-07-01,774.25
2005-08-01,763.11
2005-09-01,785.80
2005-10-01,823.72
2005-11-01,864.30
2005-12-01,901.94
2006-01-01,992.52
2006-02-01,998.25
2006-03-01,945.91
2006-04-01,851.57
2006-05-01,962.98
2006-06-01,928.58
2006-07-01,944.11
2006-08-01,985.56
2006-09-01,1037.94
2006-10-01,1066.86
2006-11-01,1149.53
2006-12-01,1132.56
2007-01-01,1091.91
2007-02-01,1057.80
2007-03-01,1047.53
2007-04-01,1001.37
2007-05-01,1026.79
2007-06-01,1009.77
2007-07-01,1014.69
2007-08-01,1016.85
2007-09-01,1024.51
2007-10-01,1028.70
2007-11-01,1053.39
2007-12-01,1040.64
2008-01-01,1088.58
2008-02-01,1116.30
2008-03-01,1128.89
2008-04-01,1117.72
2008-05-01,1208.75
2008-06-01,1102.12
2008-07-01,1067.52
2008-08-01,1063.47
2008-09-01,1048.76
2008-10-01,1092.42
2008-11-01,1127.72
2008-12-01,1146.77
2009-01-01,1169.60
2009-02-01,1187.06
2009-03-01,1183.75
2009-04-01,1183.84
2009-05-01,1205.84
2009-06-01,1202.07
2009-07-01,1128.67
