month,price,yield,rain_index
2015-01-01,1473.42,78717.6,2.809032258
2015-02-01,1465.29,63300.5,-4.805357143
2015-03-01,1443.31,93031.9,22.54032258
2015-04-01,1424.9,58714.1,17.84733333
2015-05-01,1385.65,25930.1,-4.51516129
2015-06-01,1387.53,16056.4,16.087
2015-07-01,1409.69,11894.9,-37.69516129
2015-08-01,1422.51,11735.3,-26.4383871
2015-09-01,1435.09,20609.6,-37.18966667
2015-10-01,1465.6,119264.8,-26.00967742
2015-11-01,1526.51,160285.9,10.81033333
2015-12-01,1559.97,84481.8,6.179354839
2016-01-01,1514.46,48540.5,-5.317741935
2016-02-01,1504.16,40282.6,-8.672068966
2016-03-01,1488.64,31755.2,-0.044193548
2016-04-01,1471.1,31040.6,4.029333333
2016-05-01,1482.46,17814.2,1.621290323
2016-06-01,1522.55,12601.7,-13.176
2016-07-01,1533.07,6177.6,26.79903226
2016-08-01,1532.72,4821.7,-6.613870968
2016-09-01,1538.52,10646.4,-8.578666667
2016-10-01,1562.79,95284.8,-8.438064516
2016-11-01,1628.0,142735.5,-11.75166667
2016-12-01,1615.92,103241.3,-2.936129032
2017-01-01,1613.7,70301.2,-0.494516129
2017-02-01,1644.02,33803.7,-1.988928571
2017-03-01,1620.89,26006.4,2.959677419
2017-04-01,1623.89,14153.8,7.295333333
2017-05-01,1607.35,5472.6,-6.210322581
2017-06-01,1607.13,3838.3,9.293333333
2017-07-01,1614.65,4652.0,4.681290323
2017-08-01,1627.24,5380.5,-28.07193548
2017-09-01,1657.93,18326.4,-15.57266667
2017-10-01,1741.43,129104.0,5.400967742
2017-11-01,1811.42,184234.4,-6.356333333
2017-12-01,1787.06,81937.3,4.650967742
2018-01-01,1764.35,52888.4,-8.383870968
2018-02-01,1742.12,26175.1,-6.285357143
2018-03-01,1704.35,21115.7,-6.48516129
2018-04-01,1656.85,13376.8,4.171
2018-05-01,1626.16,8576.5,5.491935484
2018-06-01,1636.45,8769.5,-1.925333333
2018-07-01,1629.83,5813.1,16.46903226
2018-08-01,1624.07,4864.2,-14.13290323
2018-09-01,1662.85,16458.7,-20.846
2018-10-01,1849.31,130509.5,-21.80322581
2018-11-01,1972.87,140249.1,11.02266667
2018-12-01,1896.72,135446.5,-0.077741935
2019-01-01,1744.65,106400.9,-3.668709677
2019-02-01,1738.31,38967.8,0.095357143
2019-03-01,1717.26,21323.4,-3.355806452
2019-04-01,1714.93,18008.4,-1.312
2019-05-01,1710.88,7012.2,3.117741935
2019-06-01,1700.87,3484.0,-28.806
2019-07-01,1698.21,2086.2,7.821612903
2019-08-01,1711.32,1296.1,36.29129032
2019-09-01,1721.73,9474.1,36.209
2019-10-01,1762.42,71263.7,5.586451613
2019-11-01,1755.53,100188.2,1.563333333
2019-12-01,1750.85,83842.7,5.868387097
2020-01-01,1724.79,43194.3,10.55645161
2020-02-01,1719.45,29955.0,-7.529655172
2020-04-01,1697.63,17483.2,7.59
2020-05-01,1686.58,26318.5,-5.262
2020-06-01,1676.7,22454.6,0.207741935
2020-07-01,1697.35,8180.1,19.85566667
2020-08-01,1663.8,10070.1,1.969354839
2020-09-01,1654.67,32617.3,21.9590625
2020-10-01,1680.61,113600.1,-7.654
2020-11-01,1689.06,90035.9,-1.848709677
2020-12-01,1714.01,43780.1,-4.340333333
2021-01-01,1721.47,21412.5,4.49625
2021-02-01,1696.36,15812.5,7.77875
2021-03-01,1654.91,19236.2,-8.734642857
2021-04-01,1682.98,20463.4,-6.286129032
2021-05-01,1653.18,7460.5,-2.735333333
2021-06-01,1609.98,6771.8,21.17967742
2021-07-01,1611.38,4089.2,18.56483871
2021-08-01,1611.27,3123.1,-22.476875
2021-09-01,1651.65,14528.8,-34.88387097
2021-10-01,1742.79,79252.5,17.92966667
2021-11-01,1786.67,103294.6,15.33290323
2021-12-01,1844.21,47786.0,15.294
2022-01-01,1826.49,37025.0,5.069032258
2022-02-01,1812.16,17103.9,12.27
2022-03-01,1799.05,17074.4,0.138214286
2022-04-01,1788.44,6502.0,-10.95483871
2022-05-01,1742.89,5555.4,11.794
2022-06-01,1758.54,3290.3,17.848125
2022-07-01,1794.65,2161.3,-11.272
2022-08-01,1811.09,1500.4,19.28064516
2022-09-01,1855.48,12398.5,3.581290323
2022-10-01,1928.61,73537.1,-5.441333333
2022-11-01,1990.99,120147.5,31.82419355
2022-12-01,2004.76,101395.4,-3.995
2023-01-01,2019.25,32933.4,0.431935484
2023-02-01,1983.91,11151.3,-7.201612903
2023-03-01,1932.85,15323.7,-7.281785714
2023-04-01,1953.37,13127.3,-0.97
2023-05-01,1922.79,6030.7,-1.825
2023-06-01,1991.0,4472.4,2.321290323
2023-07-01,2024.99,4470.9,-31.486
2023-08-01,2044.29,8117.0,17.52612903
2023-09-01,2074.98,29958.2,-65.0396875
2023-10-01,2174.53,77112.9,-18.975
2023-11-01,2221.66,79239.2,-16.2696875
2023-12-01,2335.89,10346.4,-0.41
2024-01-01,2401.75,17107.8,13.67612903
2024-02-01,2397.55,13469.1,-3.741935484
2024-03-01,2389.9,14289.7,-0.504827586
2024-04-01,2344.62,10534.3,2.148064516
2024-05-01,2249.13,7110.7,-6.434333333
2024-06-01,2275.64,297.6,-4.588
2024-07-01,2277.66,12270.4,-8.743939394
2024-08-01,2258.77,12343.0,23.12366667
2024-09-01,2260.08,43583.6,26.4246875
2024-10-01,2287.92,72605.2,-2.901290323
2024-11-01,2365.54,71574.7,-3.69
2024-12-01,2375.44,33411.3,-8.504333333
2025-01-01,2378.3,11862.4,6.972580645
