month,price,yield,rain_index
2015-01-01,1628.23,1084.5,2.809032258
2015-02-01,1609.07,1612.4,-4.805357143
2015-03-01,1711.88,1885.3,22.54032258
2015-04-01,1622.67,16424.0,17.84733333
2015-05-01,1669.37,17939.8,-4.51516129
2015-06-01,1620.21,30598.3,16.087
2015-07-01,1623.59,9694.0,-37.69516129
2015-08-01,1589.89,3261.0,-26.4383871
2015-09-01,1605.55,2511.6,-37.18966667
2015-10-01,1702.56,2450.1,-26.00967742
2015-11-01,1697.49,1722.7,10.81033333
2015-12-01,1730.81,1930.0,6.179354839
2016-01-01,1754.81,1643.7,-5.317741935
2016-02-01,1720.77,1260.0,-8.672068966
2016-03-01,1652.96,1492.8,-0.044193548
2016-04-01,1675.11,18983.2,4.029333333
2016-05-01,1725.86,8009.7,1.621290323
2016-06-01,1829.92,3708.4,-13.176
2016-07-01,1777.93,1560.0,26.79903226
2016-08-01,1789.32,1379.0,-6.613870968
2016-09-01,1816.55,7098.2,-8.578666667
2016-10-01,1838.53,2608.9,-8.438064516
2016-11-01,2068.93,2862.3,-11.75166667
2016-12-01,2030.05,2238.6,-2.936129032
2017-01-01,1981.89,1357.6,-0.494516129
2017-02-01,1907.77,863.1,-1.988928571
2017-03-01,1831.27,1753.1,2.959677419
2017-04-01,1791.12,26879.6,7.295333333
2017-05-01,1805.05,36655.3,-6.210322581
2017-06-01,1703.42,66696.0,9.293333333
2017-07-01,1739.88,27228.1,4.681290323
2017-08-01,1681.68,15905.3,-28.07193548
2017-09-01,1716.8,15644.5,-15.57266667
2017-10-01,1703.54,2484.8,5.400967742
2017-11-01,1740.69,1409.0,-6.356333333
2017-12-01,1755.54,1754.1,4.650967742
2018-01-01,1734.33,1426.6,-8.383870968
2018-02-01,1720.79,1398.1,-6.285357143
2018-03-01,1751.96,1449.1,-6.48516129
2018-04-01,1828.68,12353.7,4.171
2018-05-01,1946.56,43547.6,5.491935484
2018-06-01,1919.56,36874.3,-1.925333333
2018-07-01,1986.85,10496.3,16.46903226
2018-08-01,2117.31,3182.9,-14.13290323
2018-09-01,2059.88,2038.7,-20.846
2018-10-01,2054.17,1800.2,-21.80322581
2018-11-01,2055.53,1092.7,11.02266667
2018-12-01,2028.55,678.9,-0.077741935
2019-01-01,2066.31,715.7,-3.668709677
2019-02-01,2114.33,1541.3,0.095357143
2019-03-01,2066.0,1474.1,-3.355806452
2019-04-01,1984.99,10990.3,-1.312
2019-05-01,2046.0,31205.2,3.117741935
2019-06-01,1997.67,42401.8,-28.806
2019-07-01,2114.29,24319.1,7.821612903
2019-08-01,2128.43,11107.3,36.29129032
2019-09-01,2146.92,4883.8,36.209
2019-10-01,2187.55,1214.9,5.586451613
2019-11-01,2218.37,665.3,1.563333333
2019-12-01,2257.04,1284.5,5.868387097
2020-01-01,2231.65,1588.9,10.55645161
2020-02-01,2141.0,1335.7,-7.529655172
2020-07-01,1782.0,3262.3,19.85566667
2021-04-01,1820.25,14707.2,-6.286129032
2022-01-01,2184.38,1504.2,5.069032258
2022-02-01,2224.87,994.2,12.27
2022-03-01,2243.23,1146.3,0.138214286
2022-04-01,2193.77,26470.4,-10.95483871
2022-05-01,2318.3,7016.0,11.794
2022-06-01,2278.58,3580.1,17.848125
2022-07-01,2344.38,2793.1,-11.272
2022-08-01,2413.28,2685.3,19.28064516
2022-09-01,2425.98,2354.1,3.581290323
2022-10-01,2557.65,2290.8,-5.441333333
2022-11-01,2647.79,877.6,31.82419355
2022-12-01,2800.83,1270.5,-3.995
2023-01-01,2891.87,844.0,0.431935484
2023-02-01,2664.95,811.0,-7.201612903
2023-03-01,2504.26,594.5,-7.281785714
2023-04-01,2314.46,36623.7,-0.97
2023-05-01,2376.68,7060.2,-1.825
2023-06-01,2433.1,3676.1,2.321290323
2023-07-01,2425.83,2718.1,-31.486
2023-08-01,2429.16,2280.0,17.52612903
2023-09-01,2499.33,1661.3,-65.0396875
2023-10-01,2633.89,1597.1,-18.975
2023-11-01,2735.77,622.2,-16.2696875
2023-12-01,2656.23,449.5,-0.41
2024-01-01,2535.61,208.7,13.67612903
2024-02-01,2531.42,252.4,-3.741935484
2024-03-01,2599.43,866.4,-0.504827586
2024-04-01,2424.28,25401.5,2.148064516
2024-05-01,2416.16,5822.2,-6.434333333
2024-06-01,2573.0,211.8,-4.588
2024-07-01,2635.93,4232.8,-8.743939394
2024-08-01,2670.26,2951.2,23.12366667
2024-09-01,2757.63,3165.2,26.4246875
2024-10-01,2898.2,1445.1,-2.901290323
2024-11-01,2969.7,795.7,-3.69
2024-12-01,2972.13,1015.5,-8.504333333
2025-01-01,3268.6,358.1,6.972580645
